"corpus","user/it3/oct_GZQS3fc7aPtWJBbZbMEFoQ"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"borrow",7,983523,44.87841,15.96991,2.704
"provision",24,3466400,153.86884,56.28552,2.703
"E-mail",3,400388,19.23360,6.50128,2.697
"Risk",3,400716,19.23360,6.50661,2.695
"convention",12,1722050,76.93442,27.96171,2.691
"second",152,22276817,974.50262,361.71887,2.689
"understatement",1,108141,6.41120,1.75593,2.689
"Integrated",3,401994,19.23360,6.52736,2.688
"iv",2,255306,12.82240,4.14552,2.686
"DR",2,255978,12.82240,4.15643,2.681
"uptake",2,256546,12.82240,4.16565,2.676
"Ou",1,109031,6.41120,1.77039,2.675
"measuring",1,109593,6.41120,1.77951,2.666
"pricing",8,1147282,51.28961,18.62894,2.664
"measured",1,109997,6.41120,1.78607,2.660
"integrity",9,1297665,57.70081,21.07078,2.660
"Location",6,852305,38.46721,13.83927,2.660
"information",200,29724306,1282.24036,482.64716,2.653
"terrestrial",2,259743,12.82240,4.21757,2.649
"assume",34,5031341,217.98085,81.69618,2.648
"accepted",2,260293,12.82240,4.22650,2.645
"general",70,10414681,448.78412,169.10794,2.644
"travel",66,9819993,423.13931,159.45171,2.643
"enshrine",1,111259,6.41120,1.80656,2.641
"influence",42,6247451,269.27048,101.44272,2.638
"eradicate",2,261305,12.82240,4.24293,2.636
"IG",1,111674,6.41120,1.81330,2.634
"Progress",2,262674,12.82240,4.26516,2.625
"explanation",15,2220409,96.16802,36.05379,2.622
"instance",30,4480745,192.33604,72.75591,2.621
"swap",7,1021001,44.87841,16.57846,2.610
"individually",5,718933,32.05601,11.67364,2.608
"disallow",1,113491,6.41120,1.84281,2.607
"absorb",8,1176368,51.28961,19.10123,2.601
"overstate",1,113888,6.41120,1.84925,2.601
"LED",1,114060,6.41120,1.85204,2.599
"reasonably",6,874188,38.46721,14.19459,2.597
"universally",2,267126,12.82240,4.33745,2.590
"owner",46,6987543,294.91528,113.45993,2.585
"motorbike",1,115305,6.41120,1.87226,2.580
"industry",83,12683048,532.12976,205.94044,2.576
"Environment",7,1035479,44.87841,16.81355,2.575
"justification",4,580354,25.64481,9.42347,2.556
"Group",35,5370042,224.39206,87.19582,2.556
"imply",11,1671916,70.52322,27.14767,2.541
"multiple",45,6969929,288.50409,113.17393,2.536
"security",60,9312015,384.67209,151.20345,2.534
"Warehouse",1,118597,6.41120,1.92571,2.533
"acquisition",11,1680174,70.52322,27.28175,2.529
"importance",23,3558156,147.45764,57.77541,2.526
"Does",1,119171,6.41120,1.93503,2.525
"continent",6,902333,38.46721,14.65159,2.522
"Assessment",5,745952,32.05601,12.11236,2.521
"or",1413,221479072,9059.02734,3596.25684,2.519
"hence",14,2158967,89.75682,35.05613,2.517
"underpin",2,277191,12.82240,4.50088,2.513
"internal",22,3422485,141.04643,55.57245,2.511
"Alison",2,277717,12.82240,4.50942,2.509
"consequent",1,120348,6.41120,1.95415,2.509
"environmental",27,4216962,173.10245,68.47274,2.506
"nevertheless",9,1381892,57.70081,22.43841,2.504
"Market",11,1701601,70.52322,27.62967,2.498
"corresponding",8,1228971,51.28961,19.95536,2.495
"purchase",50,7894272,320.56009,128.18291,2.489
"Dutch",8,1233428,51.28961,20.02773,2.487
"kwh",1,122037,6.41120,1.98157,2.486
"may",316,50219664,2025.93970,815.43964,2.483
"nuance",2,281430,12.82240,4.56971,2.482
"minimum",20,3146025,128.22403,51.08345,2.481
"propose",37,5852281,237.21446,95.02616,2.481
"plantation",3,441861,19.23360,7.17470,2.475
"accordingly",7,1081987,44.87841,17.56872,2.471
"where",307,49135096,1968.23889,797.82904,2.465
"Aviation",3,443947,19.23360,7.20857,2.465
"Om",1,124114,6.41120,2.01530,2.458
"figure",67,10735008,429.55051,174.30922,2.456
"heavy-duty",1,124399,6.41120,2.01992,2.454
"feedback",16,2538659,102.57922,41.22137,2.453
"seller",7,1090284,44.87841,17.70344,2.453
"unlikely",9,1418521,57.70081,23.03317,2.442
"obligation",11,1742181,70.52322,28.28859,2.442
"Internal",3,448783,19.23360,7.28709,2.442
"elaborate",5,775935,32.05601,12.59921,2.431
"unwilling",2,289339,12.82240,4.69813,2.426
"halve",1,126830,6.41120,2.05940,2.422
"existing",21,3393267,134.63524,55.09803,2.418
"CC",3,454482,19.23360,7.37963,2.415
"int",2,292684,12.82240,4.75244,2.403
"mitigate",4,623270,25.64481,10.12032,2.396
"Comments",1,129327,6.41120,2.09994,2.391
"internally",3,459904,19.23360,7.46767,2.390
"UT",2,294782,12.82240,4.78651,2.389
"generally",33,5418932,211.56966,87.98968,2.389
"below",65,10713903,416.72812,173.96654,2.387
"dataset",4,626159,25.64481,10.16723,2.386
"context",28,4599097,179.51364,74.67764,2.385
"deficiency",4,626424,25.64481,10.17153,2.385
"risky",3,461354,19.23360,7.49122,2.383
"horizon",6,958889,38.46721,15.56992,2.382
"arrange",13,2123219,83.34562,34.47568,2.378
"Alliance",7,1128468,44.87841,18.32345,2.374
"jointly",3,463511,19.23360,7.52624,2.373
"fragmented",1,130961,6.41120,2.12647,2.370
"net",24,3963473,153.86884,64.35673,2.370
"Board",29,4797426,185.92485,77.89800,2.369
"footnote",3,465391,19.23360,7.55677,2.365
"cycle",21,3471511,134.63524,56.36852,2.364
"Trade",8,1300527,51.28961,21.11725,2.364
"semi",2,298573,12.82240,4.84807,2.364
"reduction",16,2638630,102.57922,42.84464,2.362
"include",359,60125952,2301.62134,976.29254,2.356
"plug-in",2,299718,12.82240,4.86666,2.356
"anticipated",2,299793,12.82240,4.86788,2.356
"insofar",1,133294,6.41120,2.16436,2.342
"municipal",5,809927,32.05601,13.15115,2.336
"liquidation",1,133884,6.41120,2.17394,2.335
"Associated",3,472087,19.23360,7.66549,2.335
"within",126,21373377,807.81140,347.04929,2.324
"loss",45,7618291,288.50409,123.70168,2.322
"commonly",11,1838343,70.52322,29.85002,2.318
"earmark",1,135599,6.41120,2.20178,2.315
"Organisation",2,306285,12.82240,4.97329,2.314
"individual",83,14129677,532.12976,229.43002,2.314
"umbrella",3,477579,19.23360,7.75467,2.311
"across",90,15348599,577.00818,249.22223,2.310
"den",2,307022,12.82240,4.98526,2.309
"centerpiece",1,136736,6.41120,2.22024,2.301
"reasonable",15,2542858,96.16802,41.28955,2.298
"evolve",13,2200660,83.34562,35.73312,2.296
"distort",2,309284,12.82240,5.02199,2.295
"merger",4,653389,25.64481,10.60938,2.295
"leveraged",1,137664,6.41120,2.23531,2.291
"economy",32,5485452,205.15845,89.06979,2.289
"governmental",3,483741,19.23360,7.85472,2.285
"decompose",1,138339,6.41120,2.24627,2.283
"Rental",1,139130,6.41120,2.25912,2.274
"hamper",2,313480,12.82240,5.09012,2.270
"model",92,15976648,589.83057,259.42014,2.269
"limit",50,8676745,320.56009,140.88828,2.266
"unsustainable",1,139880,6.41120,2.27130,2.266
"ensure",56,9735399,359.02728,158.07812,2.263
"Polo",1,141187,6.41120,2.29252,2.251
"integrate",14,2428826,89.75682,39.43796,2.244
"trillion",4,669770,25.64481,10.87536,2.244
"resilience",4,669914,25.64481,10.87770,2.243
"Ivan",2,317959,12.82240,5.16285,2.243
"conglomerate",1,142101,6.41120,2.30736,2.241
"different",157,27676402,1006.55865,449.39441,2.237
"detached",1,142603,6.41120,2.31551,2.235
"commodity",5,850468,32.05601,13.80944,2.232
"Statistics",3,496740,19.23360,8.06579,2.232
"purchaser",2,320192,12.82240,5.19910,2.230
"overlay",2,320433,12.82240,5.20302,2.228
"publish",54,9547526,346.20490,155.02754,2.225
"owe",8,1386671,51.28961,22.51601,2.224
"administrative",9,1565825,57.70081,25.42502,2.221
"encourage",33,5844544,211.56966,94.90054,2.217
"tracking",4,678926,25.64481,11.02403,2.216
"hedge",3,501415,19.23360,8.14170,2.213
"substantiate",1,144923,6.41120,2.35318,2.210
"diversified",1,146061,6.41120,2.37166,2.198
"publication",20,3561752,128.22403,57.83380,2.196
"Credit",5,866172,32.05601,14.06443,2.194
"feasibility",2,328117,12.82240,5.32779,2.184
"wording",2,330324,12.82240,5.36362,2.172
"occurrence",4,695587,25.64481,11.29456,2.167
"equate",2,332771,12.82240,5.40335,2.159
"WR",1,150054,6.41120,2.43650,2.157
"atmosphere",11,1984250,70.52322,32.21917,2.153
"academia",2,334240,12.82240,5.42721,2.151
"Force",12,2171609,76.93442,35.26141,2.149
"Cars",1,151254,6.41120,2.45598,2.144
"Utilities",1,151286,6.41120,2.45650,2.144
"CDC",3,522119,19.23360,8.47788,2.135
"Directors",3,522185,19.23360,8.47896,2.135
"Territory",2,338132,12.82240,5.49040,2.130
"characteristic",15,2748769,96.16802,44.63302,2.129
"deduce",1,152960,6.41120,2.48368,2.127
"therein",2,340053,12.82240,5.52160,2.119
"bank",36,6677758,230.80325,108.42981,2.118
"target",42,7803460,269.27048,126.70835,2.116
"evict",1,154257,6.41120,2.50474,2.115
"intensify",2,341941,12.82240,5.55225,2.110
"compare",46,8585944,294.91528,139.41389,2.107
"ECB",1,155368,6.41120,2.52278,2.104
"dollar",24,4475856,153.86884,72.67652,2.102
"mix",26,4863706,166.69124,78.97422,2.097
"forthcoming",3,533323,19.23360,8.65981,2.095
"sufficient",11,2046146,70.52322,33.22421,2.090
"green",32,6016225,205.15845,97.68820,2.089
"consumer",27,5072069,173.10245,82.35751,2.089
"complement",5,913533,32.05601,14.83345,2.088
"Toyota",3,536388,19.23360,8.70958,2.084
"direct",46,8688575,294.91528,141.08037,2.083
"artificially",1,158248,6.41120,2.56955,2.076
"etc.",43,8151197,275.68167,132.35471,2.075
"Account",3,540360,19.23360,8.77407,2.070
"Z",4,731330,25.64481,11.87494,2.070
"quota",2,350381,12.82240,5.68930,2.066
"dismantle",2,350656,12.82240,5.69376,2.065
"floor",30,5707296,192.33604,92.67197,2.064
"follow",163,31170302,1045.02588,506.12643,2.063
"Monaco",1,159868,6.41120,2.59585,2.061
"M1",1,159912,6.41120,2.59656,2.061
"Asia-Pacific",1,160016,6.41120,2.59825,2.060
"International",39,7452607,250.03687,121.01139,2.057
"consider",95,18237454,609.06415,296.12988,2.053
"acknowledgment",1,160837,6.41120,2.61158,2.052
"criterion",12,2277761,76.93442,36.98505,2.052
"Green",17,3241640,108.99043,52.63599,2.051
"Pilot",1,161162,6.41120,2.61686,2.049
"insight",15,2858885,96.16802,46.42102,2.049
"interoperability",1,161306,6.41120,2.61920,2.048
"Area",8,1511868,51.28961,24.54889,2.047
"convene",2,354842,12.82240,5.76173,2.044
"negative",20,3831740,128.22403,62.21771,2.044
"SC",3,549789,19.23360,8.92717,2.038
"necessarily",10,1908941,64.11201,30.99635,2.035
"Export",1,162789,6.41120,2.64328,2.034
"two-year",2,357105,12.82240,5.79848,2.033
"fulfill",8,1526006,51.28961,24.77846,2.028
"conditional",2,358875,12.82240,5.82722,2.025
"initial",21,4067549,134.63524,66.04665,2.023
"default",16,3093519,102.57922,50.23088,2.022
"improve",62,12141299,397.49451,197.14381,2.011
"regulation",21,4095944,134.63524,66.50771,2.009
"utility",10,1938542,64.11201,31.47699,2.005
"limited",17,3317374,108.99043,53.86572,2.005
"minimal",6,1152849,38.46721,18.71934,2.001
"Paris",12,2337412,76.93442,37.95362,2.001
"Singapore",6,1155219,38.46721,18.75782,1.998
"decomposition",1,167137,6.41120,2.71388,1.996
"incorporate",14,2741450,89.75682,44.51418,1.994
"poorly",4,763957,25.64481,12.40472,1.988
"organization",52,10306451,333.38248,167.35056,1.986
"physically",6,1162288,38.46721,18.87260,1.986
"scenario",12,2357804,76.93442,38.28474,1.984
"leverage",6,1166106,38.46721,18.93460,1.980
"critically",3,569551,19.23360,9.24806,1.974
"calendar",9,1770407,57.70081,28.74691,1.973
"minority",8,1574661,51.28961,25.56849,1.968
"Bank",18,3583652,115.40163,58.18939,1.967
"backing",2,371342,12.82240,6.02965,1.966
"neutralize",1,170851,6.41120,2.77419,1.964
"endorse",4,775771,25.64481,12.59655,1.960
"European",32,6430207,205.15845,104.41022,1.956
"addition",48,9663455,307.73767,156.90994,1.955
"shared",5,979948,32.05601,15.91186,1.955
"builder",5,980660,32.05601,15.92342,1.953
"splitting",1,172404,6.41120,2.79940,1.951
"intend",21,4221866,134.63524,68.55237,1.950
"possible",74,14953795,474.42892,242.81160,1.950
"control",92,18609038,589.83057,302.16345,1.949
"clarification",2,375247,12.82240,6.09306,1.949
"under",144,29150877,923.21301,473.33609,1.948
"streamline",2,377149,12.82240,6.12394,1.940
"overlapping",1,173734,6.41120,2.82100,1.940
"above",65,13242384,416.72812,215.02264,1.934
"comprise",11,2219235,70.52322,36.03473,1.931
"significant",38,7750126,243.62566,125.84234,1.929
"vandalism",1,175256,6.41120,2.84571,1.927
"conversion",9,1815426,57.70081,29.47790,1.926
"transfer",30,6123131,192.33604,99.42408,1.925
"atmospheric",3,585784,19.23360,9.51164,1.925
"Interest",1,175814,6.41120,2.85477,1.923
"enhance",17,3463131,108.99043,56.23244,1.922
"cyclone",1,176149,6.41120,2.86021,1.920
"theoretical",5,999440,32.05601,16.22836,1.919
"DP",1,176311,6.41120,2.86284,1.919
"engagement",12,2447209,76.93442,39.73645,1.913
"illustration",6,1208941,38.46721,19.63013,1.913
"institutional",5,1003986,32.05601,16.30218,1.911
"cylinder",4,799481,25.64481,12.98154,1.906
"long-term",13,2665721,83.34562,43.28453,1.905
"supersede",1,178231,6.41120,2.89402,1.903
"SME",1,178241,6.41120,2.89418,1.903
"Purdue",1,178888,6.41120,2.90469,1.898
"ideally",3,596440,19.23360,9.68467,1.894
"shortfall",1,180198,6.41120,2.92596,1.888
"describe",51,10641053,326.97128,172.78365,1.887
"Share",1,180271,6.41120,2.92714,1.887
"impact",49,10233469,314.14890,166.16553,1.885
"import",13,2694963,83.34562,43.75935,1.884
"however",128,26816397,820.63379,435.43011,1.883
"commonplace",1,180944,6.41120,2.93807,1.882
"encouraging",2,391072,12.82240,6.35001,1.881
"unintended",1,181966,6.41120,2.95466,1.874
"exchange",19,3979570,121.81283,64.61810,1.872
"Power",10,2081957,64.11201,33.80569,1.871
"facility",33,6944396,211.56966,112.75933,1.869
"such",229,48371877,1468.16516,785.43628,1.868
"similar",47,9916794,301.32648,161.02353,1.866
"Sierra",3,608115,19.23360,9.87424,1.861
"revise",7,1457846,44.87841,23.67171,1.860
"petrol",2,397054,12.82240,6.44715,1.856
"terminology",2,397380,12.82240,6.45244,1.855
"objective",17,3594783,108.99043,58.37014,1.853
"Moody",1,185454,6.41120,3.01130,1.848
"correspond",4,826597,25.64481,13.42183,1.848
"hull",2,399399,12.82240,6.48522,1.847
"delegate",5,1042320,32.05601,16.92463,1.844
"pertain",3,615565,19.23360,9.99521,1.840
"pension",6,1259366,38.46721,20.44890,1.840
"advisable",1,186606,6.41120,3.03001,1.839
"consequence",13,2765806,83.34562,44.90966,1.837
"dispose",3,617579,19.23360,10.02791,1.835
"meaningful",6,1263206,38.46721,20.51125,1.835
"potential",41,8799265,262.85925,142.87769,1.834
"remediation",1,188231,6.41120,3.05639,1.827
"upfront",1,188542,6.41120,3.06144,1.825
"sustained",2,404950,12.82240,6.57536,1.825
"indicate",29,6247625,185.92485,101.44554,1.825
"Indonesia",4,837950,25.64481,13.60618,1.824
"k",4,840952,25.64481,13.65492,1.818
"technical",20,4315870,128.22403,70.07875,1.818
"tangible",2,406681,12.82240,6.60347,1.818
"supervisory",1,190022,6.41120,3.08547,1.814
"adequate",6,1280830,38.46721,20.79742,1.811
"See",3,628316,19.23360,10.20225,1.806
"behalf",8,1721588,51.28961,27.95421,1.806
"volume",24,5228284,153.86884,84.89404,1.803
"documentation",8,1724620,51.28961,28.00344,1.803
"step",60,13137196,384.67209,213.31465,1.800
"lump",2,411539,12.82240,6.68235,1.799
"encapsulate",1,192478,6.41120,3.12535,1.797
"steering",3,632514,19.23360,10.27042,1.795
"holder",6,1292490,38.46721,20.98675,1.795
"affordability",1,192878,6.41120,3.13185,1.794
"VW",1,193134,6.41120,3.13601,1.792
"conduit",1,193500,6.41120,3.14195,1.789
"corrected",1,194217,6.41120,3.15359,1.784
"greatly",8,1745958,51.28961,28.34992,1.782
"update",50,11071294,320.56009,179.76967,1.779
"clarify",5,1084059,32.05601,17.60236,1.777
"uncertain",3,640431,19.23360,10.39897,1.775
"Environmental",6,1307972,38.46721,21.23814,1.775
"actor",15,3312004,96.16802,53.77853,1.774
"challenging",5,1087452,32.05601,17.65746,1.772
"extent",11,2428242,70.52322,39.42847,1.769
"km",10,2206722,64.11201,35.83155,1.768
"Goods",1,196858,6.41120,3.19647,1.766
"PP",1,197081,6.41120,3.20009,1.765
"reimburse",1,197250,6.41120,3.20284,1.763
"originate",4,869753,25.64481,14.12258,1.762
"flexibility",6,1319381,38.46721,21.42339,1.760
"warehouse",4,870761,25.64481,14.13894,1.760
"whereas",9,1998367,57.70081,32.44840,1.755
"explain",43,9661673,275.68167,156.88100,1.752
"convert",15,3353417,96.16802,54.45097,1.752
"arise",11,2454854,70.52322,39.86059,1.750
"construct",13,2906467,83.34562,47.19363,1.750
"engage",24,5391844,153.86884,87.54984,1.749
"develop",81,18272021,519.30731,296.69116,1.748
"redemption",2,425721,12.82240,6.91263,1.747
"thankful",2,425974,12.82240,6.91673,1.746
"Ricky",1,199860,6.41120,3.24522,1.746
"transportation",9,2017012,57.70081,32.75114,1.739
"installed",1,202023,6.41120,3.28034,1.731
"economics",4,886176,25.64481,14.38925,1.731
"utilization",2,430319,12.82240,6.98729,1.731
"car",67,15276916,429.55051,248.05826,1.729
"Cuba",3,661689,19.23360,10.74415,1.723
"fa",2,433055,12.82240,7.03171,1.721
"manageable",1,203752,6.41120,3.30841,1.720
"Eritrea",1,203759,6.41120,3.30853,1.720
"means",6,1352429,38.46721,21.96001,1.719
"each",155,35594532,993.73627,577.96472,1.718
"personal",44,10087179,282.09286,163.79015,1.718
"trajectory",2,434183,12.82240,7.05003,1.717
"maximum",14,3198302,89.75682,51.93229,1.715
"distortion",2,434927,12.82240,7.06211,1.714
"oriented",1,204720,6.41120,3.32413,1.714
"approximate",2,435154,12.82240,7.06579,1.714
"league",11,2509796,70.52322,40.75270,1.713
"Sub",1,205440,6.41120,3.33582,1.709
"fundamentally",2,436630,12.82240,7.08976,1.709
"whilst",9,2057518,57.70081,33.40886,1.706
"modernization",1,206400,6.41120,3.35141,1.703
"independent",18,4158106,115.40163,67.51707,1.699
"case",125,29178436,801.40021,473.78363,1.690
"Stanley",3,676280,19.23360,10.98107,1.689
"broad",14,3249754,89.75682,52.76774,1.688
"operation",39,9099706,250.03687,147.75609,1.688
"extended",6,1381654,38.46721,22.43455,1.684
"Light",5,1148380,32.05601,18.64677,1.683
"leakage",1,210055,6.41120,3.41076,1.680
"pa",5,1152112,32.05601,18.70737,1.677
"usefulness",1,210575,6.41120,3.41920,1.677
"renovate",2,446018,12.82240,7.24220,1.677
"official",39,9170431,250.03687,148.90450,1.675
"Model",6,1393022,38.46721,22.61913,1.671
"reservoir",3,684365,19.23360,11.11235,1.670
"further",58,13690711,371.84970,222.30232,1.670
"construe",1,211843,6.41120,3.43979,1.669
"outsource",1,211964,6.41120,3.44176,1.669
"export",11,2579004,70.52322,41.87647,1.668
"reference",32,7556997,205.15845,122.70641,1.667
"real",62,14700832,397.49451,238.70413,1.662
"matching",1,214465,6.41120,3.48237,1.653
"initiative",15,3557889,96.16802,57.77107,1.653
"expenditure",4,933323,25.64481,15.15479,1.649
"ISO",3,694154,19.23360,11.27130,1.649
"manager",24,5727205,153.86884,92.99525,1.648
"footwear",1,215964,6.41120,3.50671,1.644
"rigorous",2,456183,12.82240,7.40725,1.644
"safeguard",3,696949,19.23360,11.31668,1.643
"adequately",2,457184,12.82240,7.42351,1.641
"statutory",3,698193,19.23360,11.33688,1.640
"Automotive",1,217567,6.41120,3.53273,1.635
"Official",3,703162,19.23360,11.41756,1.629
"Parent",1,218700,6.41120,3.55113,1.628
"ultimately",11,2648963,70.52322,43.01242,1.625
"mislead",3,706316,19.23360,11.46878,1.623
"o",9,2166839,57.70081,35.18396,1.622
"valuable",10,2414868,64.11201,39.21132,1.619
"economically",2,464269,12.82240,7.53855,1.619
"K",7,1689129,44.87841,27.42716,1.614
"textile",2,466051,12.82240,7.56748,1.613
"coordinator",3,711120,19.23360,11.54678,1.613
"adopt",16,3895620,102.57922,63.25496,1.612
"either",54,13207258,346.20490,214.45229,1.612
"interpretation",8,1945296,51.28961,31.58666,1.605
"BT",1,223018,6.41120,3.62125,1.604
"element",29,7135685,185.92485,115.86538,1.599
"yearly",2,470850,12.82240,7.64541,1.599
"diesel",3,718876,19.23360,11.67272,1.597
"version",50,12345229,320.56009,200.45512,1.596
"concentrated",1,224405,6.41120,3.64377,1.596
"input",15,3704285,96.16802,60.14817,1.589
"these",281,69827401,1801.54761,1133.81946,1.588
"Archive",2,474640,12.82240,7.70695,1.588
"lifespan",1,226020,6.41120,3.66999,1.587
"communicate",10,2469042,64.11201,40.09097,1.585
"result",107,26661580,685.99860,432.91626,1.583
"Lil",1,227252,6.41120,3.68999,1.580
"ranking",5,1227115,32.05601,19.92523,1.580
"acceptable",5,1227512,32.05601,19.93167,1.579
"linear",4,977619,25.64481,15.87405,1.579
"secure",19,4732982,121.81283,76.85159,1.578
"for",2188,548053973,14027.70898,8899.00293,1.576
"current",57,14306700,365.43851,232.30443,1.571
"Population",1,229186,6.41120,3.72140,1.570
"Finland",2,481835,12.82240,7.82377,1.566
"geological",2,484221,12.82240,7.86252,1.560
"unable",10,2510492,64.11201,40.76401,1.559
"Consumer",2,484964,12.82240,7.87458,1.558
"mutual",4,992011,25.64481,16.10774,1.557
"unit",37,9359818,237.21446,151.97964,1.557
"toll",3,741375,19.23360,12.03804,1.552
"consciously",1,233034,6.41120,3.78388,1.549
"timetable",1,233355,6.41120,3.78909,1.548
"common",40,10188461,256.44806,165.43471,1.547
"exact",8,2024930,51.28961,32.87971,1.543
"gap",10,2537285,64.11201,41.19905,1.543
"electric",10,2538975,64.11201,41.22650,1.542
"role",49,12545946,314.14890,203.71425,1.539
"miscellaneous",1,235155,6.41120,3.81832,1.538
"step-by-step",1,235727,6.41120,3.82761,1.535
"assign",10,2551319,64.11201,41.42693,1.535
"Aircraft",1,236112,6.41120,3.83386,1.533
"h",5,1267402,32.05601,20.57939,1.532
"probability",4,1010179,25.64481,16.40274,1.531
"strategic",9,2300957,57.70081,37.36169,1.530
"increasingly",9,2303079,57.70081,37.39614,1.529
"interfere",3,753860,19.23360,12.24077,1.528
"analysis",33,8525039,211.56966,138.42496,1.525
"insufficient",2,497399,12.82240,8.07650,1.523
"technically",3,756718,19.23360,12.28718,1.523
"Single",2,497885,12.82240,8.08439,1.522
"rev",1,238717,6.41120,3.87616,1.520
"outset",1,239356,6.41120,3.88653,1.517
"due",55,14307210,352.61609,232.31271,1.516
"clarity",3,761068,19.23360,12.35781,1.515
"between",137,35702397,878.33466,579.71619,1.514
"bespoke",1,240347,6.41120,3.90262,1.512
"household",10,2591802,64.11201,42.08427,1.511
"Somalia",1,240795,6.41120,3.90990,1.509
"detrimental",1,240805,6.41120,3.91006,1.509
"payout",1,240859,6.41120,3.91094,1.509
"Cooperation",1,240935,6.41120,3.91217,1.509
"comp",1,241068,6.41120,3.91433,1.508
"Hong",5,1290153,32.05601,20.94880,1.506
"an",39,10214491,250.03687,165.85736,1.504
"core",16,4189615,102.57922,68.02869,1.501
"lower",8,2085689,51.28961,33.86628,1.500
"US",42,11044256,269.27048,179.33063,1.499
"fully",22,5787004,141.04643,93.96622,1.496
"prioritize",1,243792,6.41120,3.95856,1.495
"junior",5,1302872,32.05601,21.15533,1.492
"alongside",8,2109353,51.28961,34.25053,1.483
"identify",35,9296903,224.39206,150.95807,1.483
"fix",26,6905710,166.69124,112.13117,1.482
"adapt",8,2116844,51.28961,34.37216,1.478
"section",44,11740147,282.09286,190.63014,1.477
"mixture",5,1317276,32.05601,21.38921,1.476
"briefly",4,1049956,25.64481,17.04861,1.476
"Thailand",3,783479,19.23360,12.72171,1.475
"constant",9,2392070,57.70081,38.84113,1.473
"nature",27,7224843,173.10245,117.31307,1.472
"additionally",7,1863743,44.87841,30.26245,1.468
"rarely",6,1594943,38.46721,25.89782,1.467
"Electric",3,788195,19.23360,12.79828,1.466
"following",7,1868178,44.87841,30.33446,1.464
"difference",32,8616452,205.15845,139.90927,1.463
"thematic",1,250699,6.41120,4.07071,1.462
"partial",4,1061771,25.64481,17.24046,1.461
"practically",3,791653,19.23360,12.85443,1.460
"Kong",5,1333936,32.05601,21.65973,1.459
"systemic",2,522422,12.82240,8.48280,1.458
"usually",32,8657155,205.15845,140.57019,1.456
"analytical",2,523224,12.82240,8.49583,1.456
"dependency",2,524081,12.82240,8.50974,1.453
"complexity",5,1340034,32.05601,21.75875,1.452
"Regulatory",1,253124,6.41120,4.11009,1.450
"expectation",9,2435209,57.70081,39.54160,1.448
"intention",7,1893325,44.87841,30.74278,1.445
"material",48,13128070,307.73767,213.16647,1.442
"broadly",2,529450,12.82240,8.59692,1.440
"sole",4,1078098,25.64481,17.50557,1.440
"national",34,9306740,217.98085,151.11780,1.440
"surplus",2,530116,12.82240,8.60774,1.439
"fee",18,4924135,115.40163,79.95543,1.438
"empirical",2,532398,12.82240,8.64479,1.433
"grouping",1,257127,6.41120,4.17509,1.432
"improvement",15,4125057,96.16802,66.98044,1.429
"governance",5,1365824,32.05601,22.17751,1.426
"aviation",2,535910,12.82240,8.70182,1.425
"competitiveness",1,259664,6.41120,4.21628,1.421
"varied",2,537804,12.82240,8.73257,1.420
"Partners",2,537824,12.82240,8.73289,1.420
"reduce",40,11125500,256.44806,180.64984,1.417
"regardless",8,2213630,51.28961,35.94372,1.415
"characterise",1,261499,6.41120,4.24608,1.413
"Lo",1,261572,6.41120,4.24726,1.412
"legally",3,820776,19.23360,13.32732,1.412
"Easy",1,261695,6.41120,4.24926,1.412
"au",2,541447,12.82240,8.79172,1.412
"can",600,168014292,3846.72095,2728.12476,1.410
"embed",5,1383658,32.05601,22.46709,1.409
"flow",20,5598036,128.22403,90.89787,1.406
"External",1,263802,6.41120,4.28347,1.403
"participation",8,2234489,51.28961,36.28242,1.403
"variable",11,3081637,70.52322,50.03795,1.401
"apparel",1,265472,6.41120,4.31059,1.396
"choose",43,12179143,275.68167,197.75832,1.392
"conversely",1,266517,6.41120,4.32756,1.391
"throughout",29,8217663,185.92485,133.43394,1.390
"issue",96,27325046,615.47534,443.68924,1.386
"enrichment",1,267769,6.41120,4.34789,1.386
"fair",14,3975565,89.75682,64.55307,1.384
"casualty",2,553613,12.82240,8.98927,1.384
"credibility",2,555767,12.82240,9.02424,1.379
"note",69,19748486,442.37292,320.66519,1.378
"same",118,33805573,756.52179,548.91650,1.378
"by",866,248263757,5552.10059,4031.17212,1.377
"emerge",13,3711511,83.34562,60.26550,1.377
"list",64,18405547,410.31689,298.85928,1.372
"Banks",1,272135,6.41120,4.41878,1.368
"cost",58,16747182,371.84970,271.93164,1.366
"sensitive",6,1717796,38.46721,27.89264,1.366
"discrepancy",1,272707,6.41120,4.42807,1.365
"merit",4,1140806,25.64481,18.52379,1.365
"displace",2,562472,12.82240,9.13312,1.364
"strip",7,2012525,44.87841,32.67829,1.362
"specify",9,2594027,57.70081,42.12040,1.361
"selection",14,4053627,89.75682,65.82059,1.358
"consequently",3,855908,19.23360,13.89777,1.358
"reliable",8,2316026,51.28961,37.60637,1.354
"Wa",2,567130,12.82240,9.20875,1.354
"optimal",3,861081,19.23360,13.98177,1.351
"distinction",4,1154712,25.64481,18.74959,1.349
"subsequent",6,1743749,38.46721,28.31405,1.346
"restrictive",1,277585,6.41120,4.50727,1.346
"truck",10,2919146,64.11201,47.39951,1.345
